route_id,direction_id,route_direction_name
T1,0,Mairie de Biarritz
T1,1,Hauts de Bayonne
T2,0,Bayonne Marrac
T2,1,Tarnos Garròs
4,0,Biarritz Aéroport/Bidart Izarbel
4,1,Bayonne Sainsontan
5,0,Biarritz Gare - Halle Iraty
5,1,Gare de Bayonne Parvis
6,0,Gare de Biarritz
6,1,Bayonne Place des Basques/St-Pierre d'Irube Ametzondo
30,0,Anglet Quintaou/Endarra
30,1,Tarnos Square Mora
32,0,Bayonne Haut de Bayonne
32,1,Anglet Chambre d'Amour
34,0,Anglet Bordes/Troix Croix
34,1,Anglet Chambre d'Amour
36,0,Anglet Redon/La Barre
36,1,Biarritz Cité Scolaire
38,0,Bayonne Place des Basques
38,1,Bidart Lore Lande
40,0,Tarnos Castillon
40,1,Tarnos Grimau
42,0,Boucau Lacouture
42,1,Tarnos Square Mora
44,0,Bidart Uhabia
44,1,Mairie de Biarritz Louis Barthou
46,0,Bayonne Technocité
46,1,Mairie de Bidart
48,0,Mouguerre Cigaro
48,1,Gare de Bayonne Parvis
50,0,Bayonne Place des Basques
50,1,Villefranque Mendiburua
52,0,Bayonne Place des Basques
52,1,Gare de Biarritz
54,0,Hauts de Bayonne
54,1,Stade Goni
56,0,Gare de Bayonne Parvis
56,1,Ondres Plage
100,0,Anglet St Anne/Endarra
100,1,Anglet Corderie
102,0,Anglet Stella Maris
102,1,Anglet BAB 3000
104,0,Tarnos Collège Wallon
104,1,Tarnos Baudonne
106,0,Tarnos collège Wallon
106,1,Tarnos Castillon
108,0,Biarritz Fal
108,1,Biarritz Cité de l'Océan
110,0,Anglet Cantau
110,1,Bayonne Gare
112,0,Anglet Cantau
114,0,Bayonne Villa Pia/Marrac
114,1,Tarnos La Plaine
116,0,Bayonne Lauga/Cassin/Marrac
116,1,Tarnos La Plaine
118,0,Bayonne Lauga/Cassin/Marrac
118,1,Tarnos Petit Jean
120,0,Bayonne Villa Pia/Marrac
120,1,Tarnos Petit Jean
122,0,Bayonne Lauga/Cassin/Marrac
122,1,St Pierre D'Irube Mur à gauche/Hillans
124,0,St Pierre D'Irube Aturri
124,1,St Pierre D'Irube Bel Air
126,0,Bayonne Camus/Harambillet
126,1,Bayonne Séqué
128,0,Bayonne Villa Pia/St Amand
128,1,Biarritz Mairie
130,0,Tarnos Croizat
130,1,Bayonne Place des Basques
132,0,Anglet Saint Anne
136,0,Biarritz Cité Scolaire
136,1,Bidart uhabia
138,0,Bayonne Marrac
138,1,Bassussarry Axeri Mendi
N10,0,Harispe
N10,1,Haraout
N11,0,Hippodrome
N11,1,St Charles
N12,0,Jardin Public
N12,1,Polyclinique
N1,0,Glain
N1,1,Champ de Foire
N2,0,Quartier St-Esprit
N2,1,Quartier Arènes
N6,0,Hôpital
N6,1,Floride
