stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,city_name,ext_siri2_id
275,HECHA,Abadia,,43.37451869,-1.75196058,,,1,,0,,,
266,HEAGE,Agerrea,,43.37215664,-1.74717936,,,1,,0,,,
1106,BUAGU,Agerreberri,,43.34260980,-1.73936390,,,1,,0,,,
556,AHCRO,Ahetze Croisement ~ Ahetze Bidegurutzea,,43.41790791,-1.54880038,,,1,,0,,,
209,HEAIZ,Aizpurdi St Vincent ~ Aizpurdi San Bixente,,43.35622300,-1.77440000,,,1,,0,,,
308,SJACO,Akotz,,43.41271930,-1.61783100,,,1,,0,,,
1512,HAALDA,Aldabidea,,43.39506000,-1.30960000,,,1,,0,,,
309,SJALT,Alturan,,43.38904000,-1.62044000,,,1,,0,,,
1493,SJALTB,Alturan Bi,,43.38834350,-1.62387100,,,1,,0,,,
1506,SOUAME,Amespétou,,43.33596000,-1.50753200,,,1,,0,,,
726,SJAND2,Andenea,,43.38988480,-1.64775280,,,1,,0,,,
1323,ARARAN,Arantzola,,43.42286600,-1.54835400,,,1,,0,,,
361,SPINR,Artzirin,,43.35625353,-1.56118855,,,1,,0,,,
1283,HEASC,Ascoubia,,43.37736000,-1.74391000,,,1,,0,,,
1281,HEASP,Asporotsttipi,,43.37694030,-1.73925160,,,1,,0,,,
20,HEATA,Atabala,,43.36434000,-1.76531000,,,1,,0,,,
268,HEAUT,Autoport ~ Autoportua,,43.34654700,-1.77071000,,,1,,0,,,
241,CIAVB,Avenue de la Baie ~ Badiako Etorbidea,,43.38546300,-1.67828700,,,1,,0,,,
1382,CANAVA,Avenue de Navarre,,43.35877000,-1.39872600,,,1,,0,,,
310,SJAXU,Axular,,43.38615500,-1.65563300,,,1,,0,,,
1485,BIGARL,Azkenean,,43.34264366,-1.74563596,,,1,,0,,,
722,SJAIC2,Aïce Errota ~ Haize Errota,,43.39443960,-1.65287490,,,1,,0,,,
269,HEBAR,Barrendegi,,43.35622700,-1.76931700,,,1,,0,,,
270,HEBAS,Bas Quartier ~ Partxetegia,,43.35896800,-1.77165800,,,1,,0,,,
548,HEBEL,Belcenia ~ Beltzenea,,43.36169167,-1.77234881,,,1,,0,,,
311,SJBEL,Belharra,,43.41220590,-1.61423340,,,1,,0,,,
242,CIBER,Berastegia,,43.37986500,-1.67456750,,,1,,0,,,
561,URBER,Berroeta,,43.34803500,-1.68979800,,,1,,0,,,
